Name,Team,Rating
Reed Sheppard,HOU,-0.1
RJ Barrett,TOR,0.6
Robert Williams,POR,0.3
Royce ONeale,PHX,0.7
Rudy Gobert,MIN,0.6
Rui Hachimura,LAL,0.1
Russell Westbrook,DEN,0.5
Ryan Dunn,PHX,-0.1
Sam Hauser,BOS,0.3
Santi Aldama,MEM,1.2
Scoot Henderson,POR,-0.4
Scottie Barnes,TOR,0.8
Scotty Pippen Jr,MEM,0.5
Shaedon Sharpe,POR,-0.1
Shai Gilgeous-Alexander,OKC,4
Simone Fontecchio,DET,-0.2
Spencer Dinwiddie,DAL,0.2
Steph Curry,GSW,1.8
Stephon Castle,SAS,-0.6
Tari Eason,HOU,1
Taurean Prince,MIL,-0.1
Terance Mann,LAC,0.1
Terry Rozier,MIA,-0.2
Tim Hardaway Jr,DET,-0.3
TJ McConnell,IND,0.5
Tobias Harris,DET,0.3
Toumani Camara,POR,-0.1
Trae Young,ATL,0.8
Trayce Jackson-Davis,GSW,0.7
Tre Mann,CHA,0
Trey Lyles,SAC,0.2
Trey Murphy III,NOP,0.5
Tristan Da Silva,ORL,0
Tyler Herro,MIA,1.5
Tyrese Haliburton,IND,1.6
Tyrese Maxey,PHI,1.1
Tyus Jones,PHX,0.8
Vasilije Micic,CHA,-0.6
Victor Wembanyama,SAS,2.5
Walker Kessler,UTA,0.7
Wendell Carter Jr,ORL,0.2
Yves Missi,NOP,-0.2
Zaccharie Risacher,ATL,-0.7
Zach Edey,MEM,0.3
Zach LaVine,CHI,0.6
Ziaire Williams,BKN,-0.2
Zion Williamson,NOP,0
