Name,Team,Rating
Quentin Grimes,PHI,1
Quenton Jackson,IND,0.4
Reed Sheppard,HOU,1.5
RJ Barrett,TOR,1.4
Ron Holland,DET,0.3
Royce ONeale,PHX,1.2
Rudy Gobert,MIN,1.6
Rui Hachimura,LAL,1
Russell Westbrook,SAC,0.1
Ryan Dunn,PHX,1
Ryan Kalkbrenner,CHA,1.2
Ryan Rollins,MIL,1.3
Saddiq Bey,NOP,0.4
Sam Hauser,BOS,0.3
Sam Merrill,CLE,1
Sandro Mamukelashvili,TOR,1.1
Santi Aldama,MEM,0.8
Scottie Barnes,TOR,1.8
Shaedon Sharpe,POR,0.3
Shai Gilgeous-Alexander,OKC,4.4
Sion James,CHA,0.4
Steph Curry,GSW,1.5
Steven Adams,HOU,1
Svi Mykhailiuk,UTA,0.4
Taurean Prince,MIL,0.2
Terance Mann,BKN,0.6
Tim Hardaway Jr,DEN,1.1
Tobias Harris,DET,0.4
Toumani Camara,POR,0.3
Trae Young,ATL,0.3
Tre Johnson,WAS,-0.3
Tre Jones,CHI,0.9
Trey Murphy III,NOP,1.3
Tristan Da Silva,ORL,1
Tyrese Martin,BKN,0
Tyrese Maxey,PHI,2.8
Vit Krejci,ATL,0.7
VJ Edgecombe,PHI,0.7
Wendell Carter Jr,ORL,1.5
Will Richard,GSW,0.9
Zaccharie Risacher,ATL,0.3
Zach Edey,MEM,0.2
Zach LaVine,SAC,0.5
Ziaire Williams,BKN,0
Zion Williamson,NOP,0.4
