Name,Team,Rating
Precious Achiuwa,SAC,-2.1
Quentin Grimes,PHI,-1.1
Quenton Jackson,IND,0.2
Reed Sheppard,HOU,0.3
RJ Barrett,TOR,0.3
Ron Holland,DET,0.1
Royce ONeale,PHX,-1.3
Rudy Gobert,MIN,2.7
Rui Hachimura,LAL,-1.6
Russell Westbrook,SAC,-2
Ryan Dunn,PHX,-0.1
Ryan Kalkbrenner,CHA,-3
Ryan Rollins,MIL,1.4
Saddiq Bey,NOP,0.3
Sam Hauser,BOS,0
Sam Merrill,CLE,1.8
Sandro Mamukelashvili,TOR,0.3
Santi Aldama,MEM,-0.1
Scottie Barnes,TOR,1.4
Shaedon Sharpe,POR,-0.9
Shai Gilgeous-Alexander,OKC,9
Sidy Cissoko,POR,-2.1
Sion James,CHA,-2.3
Spencer Jones,DEN,-1
Steph Curry,GSW,5.8
Stephon Castle,SAS,1.4
Steven Adams,HOU,0.8
Svi Mykhailiuk,UTA,-0.7
Tari Eason,HOU,0.3
Terance Mann,BKN,-1.1
Tim Hardaway Jr,DEN,-1
Tobias Harris,DET,0.8
Toumani Camara,POR,1
Trae Young,ATL,2.1
Tre Johnson,WAS,-2.7
Tre Jones,CHI,-0.1
Trey Murphy III,NOP,0.4
Tristan Da Silva,ORL,-2
Tyler Herro,MIA,1.7
Tyrese Martin,BKN,-2.3
Tyrese Maxey,PHI,4.1
Victor Wembanyama,SAS,4.8
Vit Krejci,ATL,-1.4
VJ Edgecombe,PHI,1.4
Wendell Carter Jr,ORL,0.8
Will Richard,GSW,-0.7
Zaccharie Risacher,ATL,-2.2
Zach Edey,MEM,2.3
Zach LaVine,SAC,-1
Ziaire Williams,BKN,-2.9
Zion Williamson,NOP,2.2
