Name,Team,Rating,,,,
Ivica Zubac,LAC,0.8,0.5,2.6,2.6,0.8282222222
Ja Morant,MEM,0.2,-0.1,1.3,0.2,0.1752222222
Jabari Smith Jr,HOU,0.5,0.4,0.3,2.8,0.4874444444
Jaden McDaniels,MIN,0.5,0.3,1.4,2.2,0.5451111111
Jaime Jaquez,MIA,0.4,0.7,-0.3,2.2,0.4347777778
Jake LaRavia,LAL,0,0.2,-1.4,1.5,0.03266666667
Jakob Poeltl,TOR,0.6,0.3,2.4,1.7,0.6328888889
Jalen Brunson,NYK,1.4,1.5,2.9,4.2,1.382333333
Jalen Duren,DET,0.9,1,1.2,3.9,0.9386666667
Jalen Johnson,ATL,1.5,2.2,1.9,4.1,1.461222222
Jalen Suggs,ORL,0.8,0.9,2.1,1.4,0.7565555556
Jalen Williams,OKC,0.6,0.4,2.3,1.4,0.6185555556
Jamal Murray,DEN,1.5,1.6,3.3,4,1.450777778
Jamal Shead,TOR,0.1,0.1,-0.4,1.1,0.09822222222
James Harden,LAC,1.4,1.8,3,3.7,1.441111111
Jarace Walker,IND,-0.6,-0.6,-2.5,-0.5,-0.6138888889
Jared McCain,PHI,-0.4,-0.3,-2.3,0,-0.4296666667
Jaren Jackson Jr,MEM,0.5,0.3,1.4,1.4,0.4562222222
Jarred Vanderbilt,LAL,0.2,0,0.9,0.6,0.1956666667
Jarrett Allen,CLE,0.9,0.5,3.1,2.2,0.8554444444
Jay Huff,IND,0.2,0.4,-0.2,1.1,0.2268888889
Jaylen Brown,BOS,1.4,1.7,2.7,3.6,1.353666667
Jaylen Clark,MIN,-0.1,-0.1,-0.8,0.8,-0.05911111111
Jaylen Wells,MEM,0,-0.1,-0.8,1.3,-0.003555555556
Jaylon Tyson,CLE,0.6,0.5,0.9,2.4,0.5623333333
Jerami Grant,POR,0.1,0.5,-1.8,1.9,0.1197777778
Jeremiah Fears,NOP,-0.3,-0.5,-0.6,-0.3,-0.286
Jimmy Butler,GSW,1.5,1.7,2.9,4.8,1.515666667
Jock Landale,MEM,0,0.3,-2.2,1.9,-0.004222222222
Joel Embiid,PHI,0.7,0.5,2.8,1.1,0.6902222222
John Collins,LAC,0.2,0.1,-0.1,1.5,0.1856666667
Jordan Clarkson,NYK,-0.4,-0.4,-2.2,0.6,-0.382
Jordan Goodwin,PHX,0.2,0.4,-0.6,1.1,0.1695555556
Jordan Poole,NOP,-0.2,0,-1.5,0.4,-0.1705555556
Jordan Walsh,BOS,0.6,0.5,1.4,2.2,0.6117777778
Jose Alvarado,NOP,0,-0.1,-0.2,0.7,0.01577777778
Josh Hart,NYK,0.8,1.2,1.1,2.5,0.8354444444
Josh Minott,BOS,0.6,0.5,1.5,1.7,0.5705555556
Josh Okogie,HOU,0.4,0.2,1.1,1.5,0.391
Julian Champagnie,SAS,0.4,0.6,0,2.2,0.4444444444
Julius Randle,MIN,1.2,1.6,1,4.3,1.154444444
Jusuf Nurkic,UTA,0.2,0.3,0.3,0.8,0.2318888889
Karl-Anthony Towns,NYK,1.2,1.2,2.7,4.1,1.242555556
Kawhi Leonard,LAC,1.8,2,5,3.3,1.75
Keegan Murray,SAC,0,-0.1,0.3,0.2,0.03188888889
Keldon Johnson,SAS,0.6,1,-0.7,3.3,0.5996666667
Kelel Ware,MIA,0.7,1.1,-0.3,3.7,0.7347777778
Kevin Durant,HOU,1.4,1.6,2.6,4.2,1.372666667
Kevin Huerter,CHI,0.2,0.2,-0.1,1,0.1634444444
Kevin Porter Jr,MIL,0.5,0.6,1.4,1.3,0.5451111111
Keyonte George,UTA,0.2,0.8,-2.3,2.2,0.1814444444
Khris Middleton,WAS,-0.2,-0.3,-0.8,0.2,-0.1924444444
Klay Thompson,DAL,-0.1,0,-1,0.1,-0.1322222222
Kon Knueppel,CHA,0.4,0.8,-0.9,2.4,0.4043333333
Kris Dunn,LAC,0.4,0.3,0.6,1.5,0.3526666667
Kris Murray,POR,0,0,-0.6,1,0.02511111111
Kristaps Porzingis,ATL,0.5,0.6,0.9,1.4,0.4845555556
Kyle Filipowski,UTA,0,-0.1,-0.1,0.8,0.04122222222
Kyle Kuzma,MIL,-0.4,-0.2,-3.4,1.2,-0.4206666667
Kyshawn George,WAS,-0.2,0,-1.7,0.5,-0.1881111111
LaMelo Ball,CHA,0.6,0.9,1,1.4,0.5988888889
Lauri Markkanen,UTA,0.8,1.1,0.9,2.9,0.8178888889
LeBron James,LAL,0.6,0.7,1.8,1.2,0.6246666667
Lonzo Ball,CLE,0.2,0.1,0.4,0.6,0.1573333333
Lu Dort,OKC,0.3,0.1,0.9,1.4,0.3178888889
Luka Doncic,LAL,1.8,2.1,5.2,3.4,1.823111111
Luke Kornet,SAS,0.8,1,1,3.3,0.8433333333
Malik Monk,SAC,0,0,-0.5,0.2,-0.04944444444
Marcus Smart,LAL,0.1,0,0,0.7,0.07777777778
Mark Williams,PHX,0.7,1,0,3.6,0.7333333333
Marvin Bagley III,WAS,0.3,0.5,-0.8,1.8,0.252
Matas Buzelis,CHI,0,0,-0.8,1.3,0.02977777778
Max Christie,DAL,0.3,0.6,-0.7,2.1,0.333
Maxime Raynaud,SAC,-0.3,-0.2,-2.3,0.9,-0.2963333333
Michael Porter Jr,BKN,1,1.6,1.4,2.4,1.000666667
Mikal Bridges,NYK,1.2,1.9,0.7,4.1,1.189222222
Mike Conley,MIN,0,0.1,-0.9,1.3,0.04877777778
Miles Bridges,CHA,0.4,0.7,-0.6,2.3,0.4028888889
Mitchell Robinson,NYK,0.7,0.5,2,1.9,0.6644444444
Moses Moody,GSW,0.3,0.2,0.4,1.4,0.2795555556
Moussa Diabate,CHA,0.5,0.3,0.7,2.7,0.5003333333
Myles Turner,MIL,0.5,0.4,1.1,1.9,0.5021111111
Naji Marshall,DAL,0.3,0.6,-1.2,2.8,0.3391111111
Naz Reid,MIN,0.6,0.8,0.3,2.2,0.5541111111
